code,name,instructor,is_lab,semester,group,course_id,tab_id,content_id,content_items,due_date,due_time,task_name
IT090IU1_2024-2502,Object-Oriented Analysis and Design_S1_2024-25-Group02,Hanh Le,False,Semester 1,Group02,_28562_1,_38405_1,_338613_1,_360889_1,"Thursday, January 2, 2025",11:30 PM,"
  Upload Assignment: Assignment 4 - Made up  "
[Made up assignment] and [Presentation BDD - Evaluation]IT090IU1_2024-250201,Object-Oriented Analysis and Design_S1_2024-25-Group02_Lab01,Tin Thai,True,Semester 1,Group02,_28565_1,_38408_1,_338619_1,_350068_1,,,"
  Review Submission History: Lab 01  "
[Made up assignment] and [Presentation BDD - Evaluation]IT090IU1_2024-250201,Object-Oriented Analysis and Design_S1_2024-25-Group02_Lab01,Tin Thai,True,Semester 1,Group02,_28565_1,_38408_1,_338619_1,_351270_1,,,"
  Review Submission History: Lab 02  "
[Made up assignment] and [Presentation BDD - Evaluation]IT090IU1_2024-250201,Object-Oriented Analysis and Design_S1_2024-25-Group02_Lab01,Tin Thai,True,Semester 1,Group02,_28565_1,_38408_1,_338619_1,_352372_1,,,"
  Review Submission History: Lab 03  "
[Made up assignment] and [Presentation BDD - Evaluation]IT090IU1_2024-250201,Object-Oriented Analysis and Design_S1_2024-25-Group02_Lab01,Tin Thai,True,Semester 1,Group02,_28565_1,_38408_1,_338619_1,_353864_1,,,"
  Review Submission History: Lab 04  "
[Made up assignment] and [Presentation BDD - Evaluation]IT090IU1_2024-250201,Object-Oriented Analysis and Design_S1_2024-25-Group02_Lab01,Tin Thai,True,Semester 1,Group02,_28565_1,_38408_1,_338619_1,_355764_1,,,"
  Review Submission History: Lab 5  "
[Made up assignment] and [Presentation BDD - Evaluation]IT090IU1_2024-250201,Object-Oriented Analysis and Design_S1_2024-25-Group02_Lab01,Tin Thai,True,Semester 1,Group02,_28565_1,_38408_1,_338619_1,_357827_1,,,"
  Review Submission History: Lab 7  "
[Made up assignment] and [Presentation BDD - Evaluation]IT090IU1_2024-250201,Object-Oriented Analysis and Design_S1_2024-25-Group02_Lab01,Tin Thai,True,Semester 1,Group02,_28565_1,_38408_1,_338619_1,_358615_1,,,"
  Review Submission History: Lab 08  "
[Made up assignment] and [Presentation BDD - Evaluation]IT090IU1_2024-250201,Object-Oriented Analysis and Design_S1_2024-25-Group02_Lab01,Tin Thai,True,Semester 1,Group02,_28565_1,_38408_1,_338619_1,_359498_1,,,"
  Review Submission History: Lab 09  "
PH013IU_3_2023-2401,Physics 1_S3_2023-24_G01,Vu Phan Hien,False,Semester 3,G01,_27438_1,_37155_1,_333535_1,_334839_1,,,"
  Review Submission History: Homework Week 1  "
PH013IU_3_2023-2401,Physics 1_S3_2023-24_G01,Vu Phan Hien,False,Semester 3,G01,_27438_1,_37155_1,_333535_1,_335400_1,,,"
  Review Submission History: Homework Week 2  "
PH013IU_3_2023-2401,Physics 1_S3_2023-24_G01,Vu Phan Hien,False,Semester 3,G01,_27438_1,_37155_1,_333535_1,_335701_1,,,"
  Review Submission History: Homework Week 3  "
PH013IU_3_2023-2401,Physics 1_S3_2023-24_G01,Vu Phan Hien,False,Semester 3,G01,_27438_1,_37155_1,_333535_1,_336178_1,,,"
  Review Submission History: Homework Week 5  "
PH013IU_3_2023-2401,Physics 1_S3_2023-24_G01,Vu Phan Hien,False,Semester 3,G01,_27438_1,_37155_1,_333535_1,_336477_1,,,"
  Review Submission History: Homework Week 6  "
IT139IU1_2024-2501,Scalable and Distributed Computing_S1_2024-25-Group01,Bao An Mai Hoang,False,Semester 1,Group01,_28631_1,_38474_1,_338751_1,_358026_1,No due date,No due time,"
  Upload Assignment: Project  "
IT139IU1_2024-250101,Scalable and Distributed Computing_S1_2024-25-Group01_Lab01,Bao An Mai Hoang,True,Semester 1,Group01,_28632_1,_38475_1,_338753_1,_348246_1,,,"
  Review Submission History: lab 1  "
IT139IU1_2024-250101,Scalable and Distributed Computing_S1_2024-25-Group01_Lab01,Bao An Mai Hoang,True,Semester 1,Group01,_28632_1,_38475_1,_338753_1,_348247_1,,,"
  Review Submission History: lab 2  "
IT139IU1_2024-250101,Scalable and Distributed Computing_S1_2024-25-Group01_Lab01,Bao An Mai Hoang,True,Semester 1,Group01,_28632_1,_38475_1,_338753_1,_350745_1,,,"
  Review Submission History: lab 3  "
IT139IU1_2024-250101,Scalable and Distributed Computing_S1_2024-25-Group01_Lab01,Bao An Mai Hoang,True,Semester 1,Group01,_28632_1,_38475_1,_338753_1,_352850_1,,,"
  Review Submission History: lab 4  "
IT139IU1_2024-250101,Scalable and Distributed Computing_S1_2024-25-Group01_Lab01,Bao An Mai Hoang,True,Semester 1,Group01,_28632_1,_38475_1,_338753_1,_354958_1,,,"
  Review Submission History: lab 5  "
IT139IU1_2024-250101,Scalable and Distributed Computing_S1_2024-25-Group01_Lab01,Bao An Mai Hoang,True,Semester 1,Group01,_28632_1,_38475_1,_338753_1,_355753_1,,,"
  Review Submission History: lab 6  "
IT139IU1_2024-250101,Scalable and Distributed Computing_S1_2024-25-Group01_Lab01,Bao An Mai Hoang,True,Semester 1,Group01,_28632_1,_38475_1,_338753_1,_355754_1,,,"
  Review Submission History: lab 7  "
IT139IU1_2024-250101,Scalable and Distributed Computing_S1_2024-25-Group01_Lab01,Bao An Mai Hoang,True,Semester 1,Group01,_28632_1,_38475_1,_338753_1,_355756_1,,,"
  Review Submission History: lab 8  "
PE017IU_3_2023-2402,Scientific socialism_S3_2023-24_G02,Thinh Huynh,False,Semester 3,G02,_27525_1,_37242_1,,,,,
